Registration No,Title,Subj,Instructor
20638,Mexico: Indepdence toRevolutn,HIST,Garrett
10651,Mexico  and  the Spanish Conquest,HIST,Garrett
10800,Mexico  and  the Spanish Conquest,HIST,Garrett
10490,Ancient History: Rome,HIST,Kelly
20489,Specl Topics in Roman History,HIST,Kelly
10652,Jun Sem: Depression Era U.S.,HIST,Dirks
10579,Introduction to Anthropology,ANTH,Stasch
20462,Introduction to Art History,ART,Diebold
20639,"Sem: Comty, Auth, Cult15-1700",HIST,Sacks
10072,West Humanities: Greece  and Rome,HUM,King
10148,West Humanities: Greece  and Rome,HUM,Arnold
10149,West Humanities: Greece  and Rome,HUM,Drumm
10150,West Humanities: Greece  and Rome,HUM,Englert
10151,West Humanities: Greece  and Rome,HUM,Sherman
10152,West Humanities: Greece  and Rome,HUM,Leveen
10153,West Humanities: Greece  and Rome,HUM,Arkonovich
10154,West Humanities: Greece  and Rome,HUM,Gillcrist
10155,West Humanities: Greece  and Rome,HUM,Breen
10460,Introductory Painting,ART,Knutson
10156,West Humanities: Greece  and Rome,HUM,Baker
10157,West Humanities: Greece  and Rome,HUM,Duquette
10158,West Humanities: Greece  and Rome,HUM,Nicholson
10159,West Humanities: Greece  and Rome,HUM,Stauder
10160,West Humanities: Greece  and Rome,HUM,Feener
10161,West Humanities: Greece  and Rome,HUM,Delehanty
10749,West Humanities: Greece  and Rome,HUM,Foat
10162,West Humanities: Greece  and Rome,HUM,Mandell
10163,West Humanities: Greece  and Rome,HUM,King
10164,West Humanities: Greece  and Rome,HUM,David
20467,Introductory Painting II,ART,Knutson
10165,West Humanities: Greece  and Rome,HUM,Latham
10775,West Humanities: Greece  and Rome,HUM,Wolfe
10166,West Humanities: Greece  and Rome,HUM,Mieszkowski
10168,West Humanities: Greece  and Rome,HUM,Kelly
10169,West Humanities: Greece  and Rome,HUM,Hendrickson
10318,West Humanities: Greece  and Rome,HUM,Sacks
10323,West Humanities: Greece  and Rome,HUM,Iaccarino
10073,Early Modern Europe,HUM,Knapp
10175,Early Modern Europe,HUM,Knapp
10176,Early Modern Europe,HUM,Steinman
10461,Sculpture,ART,Ondrizek
10177,Early Modern Europe,HUM,Kierstead
10178,Early Modern Europe,HUM,Garrett
10074,Modern Humanities,HUM,Mueller
10170,Modern Humanities,HUM,van Dyke
10171,Modern Humanities,HUM,Mueller
10172,Modern Humanities,HUM,Porter
10173,Modern Humanities,HUM,Segel
10174,Modern Humanities,HUM,Gokberk
10314,Foundatns ChineseCivilization,HUM,Brashier
10315,Foundatns ChineseCivilization,HUM,Wu
20468,Sculpture II,ART,Ondrizek
10316,Foundatns ChineseCivilization,HUM,Brashier
10317,Foundatns ChineseCivilization,HUM,Fix
10179,First Year Latin,LAT,
10180,Second Year Latin,LAT,Wolfe
10486,Advanced Latin,LAT,Englert
20484,Advanced Latin,LAT,Tron
10481,General Linguistics,LING,Haviland
10484,Language and Society,LING,Haviland
10483,Introductory Syntax,LING,Haviland
20481,Morphosyntactic Typology,LING,Haviland
10454,Early Medieval Art,ART,Diebold
20482,Languages the Americas:Mayan,LING,Haviland
10588,Structuralism and Semiotics,LING,Stasch
10598,Structuralism and Semiotics,LING,Stasch
10747,Psycholinguistics,LING,Canseco-Gonzale
10747,Psycholinguistics,LING,Canseco-Gonzale
20652,Psych of Language Acquisition,LING,Canseco-Gonzale
10538,Russian Short Fiction,LIT,Lencek
10757,"20-Cent Chin Fiction, 1919-49",LIT,Wu
20498,Modernism: Berlin,LIT,Gokberk
10756,Chinese Narrative Tradition,LIT,Rhew
20682,Medieval Manuscript Illumin,ART,Diebold
20657,Yijing: Text and Tradition,LIT,Rhew
10502,Modern German Theatre,LIT,Rudolf
20665,20-Century Chinese Poetry,LIT,Wu
20487,Greek Tragedy,LIT,Englert
20531,Russian Lit:Chekhov toPresent,LIT,Bershtein
10540,The Myth of St. Petersburg,LIT,Bershtein
10500,German Thought Postmod Era,LIT,Irmscher
20501,German Theory II: Body Media,LIT,Mieszkowski
